title,price,furnishing,bathrooms,tenant preferred,floor,status,carpet area
"3 BHK Apartment for Rent in DD Diamond Valley, Kakkanad Kochi","28,000",Semi-Furnished,3.0,Bachelors,1 out of 17,Immediately,
"3 BHK Apartment for Rent in Infra Aspire, Kakkanad Kochi","28,000",Furnished,3.0,Bachelors/Family,3 out of 12,Immediately,
"3 BHK Apartment for Rent in Hoysala D'zire Apartments, Kakkanad Kochi","27,000",Furnished,3.0,Bachelors,1 out of 11,Immediately,1200 sqft
"3 BHK Apartment for Rent in Sowparnika Atrium, Edappally Kochi","35,000",Furnished,2.0,Bachelors/Family,2 out of 10,Immediately,1102 sqft
"1 BHK Apartment for Rent in Link valley, Kakkanad Kochi","17,000",Furnished,1.0,Bachelors/Family,1 out of 3,Immediately,
3 BHK House for Rent in Edappally Kochi,"24,000",Semi-Furnished,3.0,Bachelors,1 out of 2,Immediately,1450 sqft
"2 BHK Apartment for Rent in SFS Silicon Court and Gate , Kakkanad Kochi","20,000",Semi-Furnished,2.0,Bachelors,7 out of 15,Immediately,1200 sqft
"3 BHK Apartment for Rent in Motif Green Meadows, Kakkanad Kochi","20,000",Semi-Furnished,3.0,Bachelors/Family,,Immediately,1691 sqft
"3 BHK Apartment for Rent in Sowparnika Atrium, Edappally Kochi","35,000",Furnished,2.0,Bachelors/Family,2 out of 9,Immediately,
"3 BHK Apartment for Rent in Noel Greenature, Kakkanad Kochi","59,000",Furnished,2.0,Bachelors/Family,7 out of 14,Immediately,2040 sqft
3 BHK Apartment for Rent in Kakkanad Kochi,"42,000",Furnished,3.0,Bachelors/Family,7 out of 12,Immediately,1400 sqft
"3 BHK Apartment for Rent in Jewel Bay View, Vyttila Kochi","25,000",Semi-Furnished,3.0,Bachelors/Family,4 out of 10,Immediately,
"3 BHK Apartment for Rent in Puravankra Eternity, Kakkanad Kochi","35,000",,,Bachelors/Family,,Immediately,
"1 BHK Apartment for Rent in Aban Apartments, Kakkanad Kochi","10,600",Semi-Furnished,1.0,Bachelors/Family,1 out of 3,Immediately,
3 BHK Apartment for Rent in Kakkanad Kochi,"22,000",Furnished,3.0,Bachelors,5 out of 7,Immediately,
"2 BHK Apartment for Rent in DLF New Town Heights, Kakkanad Kochi","36,000",Furnished,2.0,Bachelors/Family,4 out of 7,Immediately,
2 BHK House for Rent in Kakkanad Kochi,"15,000",Furnished,2.0,Bachelors/Family,,Immediately,
2 BHK Apartment for Rent in Edappally Kochi,"16,000",Furnished,2.0,Bachelors/Family,2 out of 3,Immediately,
3 BHK Apartment for Rent in Edappally Kochi,"20,000",Furnished,2.0,Bachelors/Family,10 out of 12,Immediately,
"2 BHK Apartment for Rent in Flairalliance Atrium, Kakkanad Kochi","15,000",Furnished,2.0,Bachelors/Family,12 out of 14,Immediately,750 sqft
3 BHK Builder Floor for Rent in Edappally Kochi,"20,000",Unfurnished,3.0,Bachelors/Family,1 out of 5,Immediately,
2 BHK Apartment for Rent in Kakkanad Kochi,"20,000",Furnished,2.0,Bachelors/Family,3 out of 15,Immediately,
2 BHK House for Rent in Kakkanad Kochi,"30,000",Unfurnished,2.0,Bachelors/Family,,Immediately,
2 BHK House for Rent in Kakkanad Kochi,"30,000",Furnished,2.0,Bachelors/Family,,Immediately,
3 BHK Villa for Rent in Edappally Kochi,"18,000",Unfurnished,3.0,Bachelors/Family,,Immediately,
3 BHK Apartment for Rent in Kakkanad Kochi,"25,000",Furnished,3.0,Bachelors/Family,18 out of 19,Immediately,
3 BHK Apartment for Rent in Kakkanad Kochi,"45,000",Semi-Furnished,3.0,Bachelors,5 out of 15,From Jun '25,1200 sqft
3 BHK Apartment for Rent in Edappally Kochi,"30,000",Furnished,3.0,Bachelors/Family,11 out of 23,Immediately,
1 BHK House for Rent in Kakkanad Kochi,"18,000",Unfurnished,1.0,Bachelors/Family,,Immediately,
3 BHK Apartment for Rent in Kakkanad Kochi,"40,000",Semi-Furnished,3.0,Bachelors/Family,7 out of 19,Immediately,
3 BHK House for Rent in Kakkanad Kochi,"20,000",Semi-Furnished,2.0,Bachelors/Family,1 out of 2,Immediately,
3 BHK House for Rent in Kakkanad Kochi,"30,000",Furnished,4.0,Bachelors/Family,,Immediately,1800 sqft
2 BHK Apartment for Rent in Thrikkakara Kochi,"25,000",Semi-Furnished,2.0,Bachelors/Family,12 out of 18,Immediately,
"3 BHK Apartment for Rent in Tranquil Towers , Kakkanad Kochi","30,000",Furnished,4.0,Bachelors/Family,5 out of 10,Immediately,
3 BHK House for Rent in Edappally Kochi,"12,000",Unfurnished,3.0,Bachelors/Family,,Immediately,
1 BHK Apartment for Rent in Vyttila Kochi,Call for Price,Furnished,1.0,Bachelors/Family,5 out of 10,Immediately,
"2 BHK Flat for Rent in Kollamkudimugal, Kochi","15,000",Semi-Furnished,2.0,Bachelors/Family,2 out of 6,Immediately,
"3 BHK Flat for Rent in TATA Tritvam , Marine Drive, Kochi","75,000",Furnished,4.0,Family,12 out of 25,Immediately,1675 sqft
"1 BHK Flat for Rent in Infopark Campus, Kochi","15,500",Furnished,1.0,Bachelors/Family,2 out of 4,Immediately,550 sqft
3 BHK House for Rent in Kalamasery Kochi,"22,500",Furnished,2.0,Bachelors/Family,1 out of 2,Immediately,1000 sqft
2 BHK Flat for Rent in Kochi,"28,000",Unfurnished,2.0,Bachelors/Family,1 out of 3,Immediately,900 sqft
"3 BHK Flat for Rent in TATA Tritvam , Marine Drive, Kochi","80,000",Furnished,4.0,Bachelors/Family,24 out of 25,Immediately,2000 sqft
3 BHK Flat for Rent in Kochi,"55,000",Furnished,4.0,Bachelors,11 out of 19,Immediately,2250 sqft
"3 BHK Flat for Rent in TATA Tritvam , Marine Drive, Kochi","90,000",Furnished,4.0,Bachelors/Family,10 out of 26,Immediately,1900 sqft
"3 BHK Flat for Rent in Puravankara Purva Grandbay, Marine Drive, Kochi","55,000",Furnished,3.0,Family,6 out of 15,Immediately,1900 sqft
2 BHK House for Rent in 2 BHK 2Bath at koonanamavu near to NH66 Highway Kochi,"14,000",Unfurnished,2.0,Bachelors/Family,1 out of 1,Immediately,
2 BHK Flat for Rent in Kochi,"15,000",Semi-Furnished,2.0,Bachelors/Family,2 out of 2,Immediately,1050 sqft
2 BHK Flat for Rent in Kochi,"20,000",Semi-Furnished,2.0,Bachelors/Family,2 out of 2,Immediately,1306 sqft
"3 BHK Flat for Rent in Skyline Zircon , Panampily Nagar, Kochi","38,000",Furnished,3.0,Bachelors/Family,4 out of 12,Immediately,1500 sqft
2 BHK House for Rent in Infopark Campus Kochi,"22,000",Furnished,2.0,Bachelors/Family,1 out of 1,Immediately,
2 BHK Flat for Rent in Kochi,"21,000",Semi-Furnished,2.0,Bachelors/Family,Ground out of 2,Immediately,750 sqft
4 BHK Villa for Rent in Angamali Kochi,"25,000",Furnished,5.0,Bachelors/Family,,Immediately,
"3 BHK Flat for Rent in Ambalamedu, Kochi","20,000",Semi-Furnished,3.0,Bachelors,Ground out of 3,Immediately,1000 sqft
"3 BHK Flat for Rent in TATA Tritvam , Marine Drive, Kochi","90,000",Semi-Furnished,4.0,Bachelors/Family,14 out of 25,Immediately,2000 sqft
"3 BHK Flat for Rent in Happy Homes Siva Apartments, Thudiyur, Kochi","22,000",Semi-Furnished,3.0,Bachelors/Family,4 out of 8,Immediately,
"3 BHK Flat for Rent in Marine Drive, Kochi","68,000",Furnished,2.0,Bachelors/Family,2 out of 15,Immediately,
"3 BHK Apartment for Rent in Asten Campus Court, Kakkanad Kochi","48,000",Furnished,3.0,Bachelors/Family,5 out of 23,Immediately,
"3 BHK Apartment for Rent in Abad Casablanca , Vazhakkala Kochi","35,000",Furnished,3.0,Bachelors/Family,1 out of 11,From May '25,
3 BHK Apartment for Rent in Tiknar olina Kochi,"30,000",Semi-Furnished,3.0,Bachelors/Family,3 out of 15,Immediately,
3 BHK Apartment for Rent in Kalamasery Kochi,"40,000",Furnished,4.0,Bachelors/Family,Ground out of 3,Immediately,
3 BHK Apartment for Rent in chittor road Kochi,"29,000",Furnished,4.0,Bachelors/Family,7 out of 11,Immediately,
2 BHK House for Rent in Puthencruz Kochi,"12,508",,,Bachelors/Family,,Immediately,
2 BHK House for Rent in Koonammavu Kochi,"11,000",Unfurnished,2.0,Bachelors/Family,1 out of 1,Immediately,
2 BHK Apartment for Rent in Kolenchery Kochi,"14,000",Furnished,1.0,Bachelors,Ground out of 2,Immediately,800 sqft
5 BHK House for Rent in Padamugal Kochi,"35,000",Semi-Furnished,5.0,Bachelors,1 out of 2,Immediately,1800 sqft
2 BHK House for Rent in Lakeshore homestay Kochi,"25,000",Furnished,2.0,Bachelors/Family,Ground out of 1,Immediately,
3 BHK Apartment for Rent in Skyline Petta Maradu Kochi,"22,000",Furnished,2.0,Bachelors,11 out of 17,Immediately,1250 sqft
3 BHK House for Rent in Vypin Kochi,"15,000",Semi-Furnished,3.0,Bachelors/Family,Ground out of 1,Immediately,
"1 BHK Apartment for Rent in South Indian Bank, Elamakkara Kochi","13,000",,,Bachelors/Family,,Immediately,
3 BHK Villa for Rent in Kaipattoor Kochi,"9,000",Unfurnished,2.0,Family,,Immediately,
"2 BHK Apartment for Rent in Coral Auriga, Coral Auriga, Maradu, Kochi,Coral Auriga, Maradu, Kochi Kochi","15,000",Unfurnished,2.0,Bachelors/Family,2 out of 3,Immediately,
"3 BHK Apartment for Rent in Riviera Retreat, Thevara Kochi","45,000",Furnished,3.0,Bachelors,10 out of 13,Immediately,
2 BHK Builder Floor for Rent in Vennala Kochi,"10,000",Semi-Furnished,1.0,Bachelors/Family,1 out of 2,Immediately,
3 BHK Apartment for Rent in Kadavanthra Kochi,"20,000",Semi-Furnished,3.0,Family,2 out of 13,From May '25,
2 BHK Apartment for Rent in Kaloor Kochi,"14,000",Unfurnished,2.0,Family,Ground out of 2,Immediately,750 sqft
"4 BHK Apartment for Rent in Prestige Neptunes Courtyard, Marine Drive Kochi","70,000",Furnished,5.0,Bachelors/Family,15 out of 16,Immediately,
2 BHK House for Rent in Panayappilly Kochi,"15,000",Semi-Furnished,2.0,Family,,Immediately,1100 sqft
4 BHK House for Rent in Koonammavu Kochi,"18,500",Unfurnished,4.0,Bachelors/Family,1 out of 2,Immediately,1400 sqft
2 BHK House for Rent in Nettoor Kochi,"20,000",Furnished,2.0,Bachelors/Family,1 out of 1,Immediately,
2 BHK House for Rent in Kacherippady Kochi,"16,000",Semi-Furnished,2.0,Bachelors/Family,1 out of 3,Immediately,
3 BHK House for Rent in Cheppanam Kochi,1.5 Lac,Semi-Furnished,3.0,Bachelors/Family,1 out of 2,Immediately,
1 BHK Builder Floor for Rent in Kaloor Kochi,"3,500",Furnished,1.0,Bachelors/Family,1 out of 3,Immediately,
1 BHK Builder Floor for Rent in Fort Kochi Kochi,"9,900",Semi-Furnished,1.0,Bachelors/Family,,,
2 BHK Apartment for Rent in Pachalam Kochi,"32,000",Furnished,2.0,Bachelors/Family,2 out of 2,Immediately,850 sqft
3 BHK Villa for Rent in Angamali Kochi,"15,000",Semi-Furnished,2.0,Bachelors/Family,,Immediately,
4 BHK Apartment for Rent in Anjaneya Apartment Kochi,"30,000",Furnished,4.0,Bachelors/Family,5 out of 5,Immediately,1900 sqft
"2 BHK Apartment for Rent in Sowparnika Atrium, Edappally Kochi","36,000",Semi-Furnished,2.0,Bachelors/Family,1 out of 9,Immediately,
"1 BHK Apartment for Rent in Prestige Hillside Gateway, Kakkanad Kochi","32,000",Furnished,1.0,Bachelors,1 out of 26,Immediately,650 sqft
2 BHK House for Rent in ARA 88 Kochi,"21,000",Semi-Furnished,2.0,Bachelors/Family,,Immediately,1400 sqft
4 BHK House for Rent in Tripunithura Kochi,"25,000",Semi-Furnished,4.0,Bachelors/Family,,Immediately,
3 BHK Apartment for Rent in Asset Homes Silicon Heights Kochi,"40,000",Furnished,4.0,Bachelors/Family,2 out of 15,Immediately,1700 sqft
3 BHK House for Rent in Varapuzha Kochi,"16,000",Unfurnished,2.0,Family,,Immediately,
"3 BHK Apartment for Rent in Mystic Heights Phase I, Vyttila Kochi","22,000",Furnished,3.0,Family,1 out of 18,Immediately,1480 sqft
1 BHK Apartment for Rent in Kakkanad Kochi,"15,000",Semi-Furnished,1.0,Bachelors/Family,1 out of 4,Immediately,750 sqft
4 BHK House for Rent in tripunithura Kochi,"35,000",Semi-Furnished,4.0,Bachelors/Family,,Immediately,
3 BHK Apartment for Rent in Kakkanad Kochi,"38,000",Furnished,3.0,Bachelors/Family,16 out of 20,Immediately,
1 BHK Apartment for Rent in Mather Esperansa Kochi,"30,000",Furnished,1.0,Bachelors,12 out of 12,Immediately,720 sqft
"3 BHK Apartment for Rent in Puravankara Purva Grandbay, Marine Drive Kochi","45,000",Furnished,3.0,Bachelors/Family,10 out of 14,Immediately,
3 BHK Apartment for Rent in Ravipuram Kochi,"50,000",Furnished,3.0,Bachelors/Family,6 out of 13,Immediately,2200 sqft
3 BHK Builder Floor for Rent in Kaloor Kochi,"17,000",Semi-Furnished,2.0,Bachelors/Family,1 out of 4,Immediately,
"2 BHK Apartment for Rent in DD Diamond Valley, Kakkanad Kochi","24,000",Semi-Furnished,2.0,Bachelors,10 out of 17,Immediately,970 sqft
1 BHK House for Rent in Vaduthala Kochi,"4,500",Furnished,1.0,Bachelors/Family,,Immediately,
